BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Duran, JaRF",4,0,0,0,0,0,0,.262,.723
Devers3B,3,1,1,1,0,0,0,.327,.988
Dalbec3B,1,0,0,0,0,0,0,.207,.635
BogaertsSS,3,0,1,0,0,0,0,.318,.847
PlaweckiC,1,0,1,0,0,0,0,.160,.509
MartinezDH,4,0,0,0,0,0,2,.304,.854
VerdugoLF,3,0,0,0,0,0,1,.262,.679
Wong2B,0,0,0,0,0,0,0,.143,.268
VÃ¡zquezC-1B,3,0,0,0,0,1,0,.276,.737
RefsnyderLF,0,0,0,0,0,0,0,.333,.933
Cordero1B-LF-1B,3,0,0,0,0,3,0,.229,.681
Bradley Jr.CF,2,0,0,0,1,1,0,.201,.543
"Downs, Jet2B-SS",3,0,0,0,0,1,1,.136,.303
,30,1,3,1,1,6,4,,
